Containers,Time,Data,Hash_Algorithm
1,47.97252321243286,100000,md5
2,47.464080572128296,100000,md5
3,48.883344888687134,100000,md5
4,48.35793471336365,100000,md5
5,48.66912221908569,100000,md5
1,50.30759143829346,100000,sha1
2,48.293527603149414,100000,sha1
3,49.50810503959656,100000,sha1
4,48.78211569786072,100000,sha1
5,46.91635298728943,100000,sha1
1,48.81087899208069,100000,sha256
2,64.46043014526367,100000,sha256
3,46.83555269241333,100000,sha256
4,46.824976205825806,100000,sha256
5,47.38513922691345,100000,sha256
1,4.302048206329346,10000,md5
2,6.096447706222534,10000,md5
3,5.497151613235474,10000,md5
4,4.691522598266602,10000,md5
5,4.91260027885437,10000,md5
1,4.928870677947998,10000,sha1
2,5.932236194610596,10000,sha1
3,5.406398773193359,10000,sha1
4,5.112642049789429,10000,sha1
5,4.998729228973389,10000,sha1
1,4.313752889633179,10000,sha256
2,6.274584054946899,10000,sha256
3,5.139425277709961,10000,sha256
4,5.110642194747925,10000,sha256
5,5.237033367156982,10000,sha256
1,4.288614988327026,1000,md5
2,4.402846574783325,1000,md5
3,2.5320188999176025,1000,md5
4,2.092129945755005,1000,md5
5,2.1302034854888916,1000,md5
1,4.509097576141357,1000,sha1
2,3.4908816814422607,1000,sha1
3,2.581747531890869,1000,sha1
4,2.067380905151367,1000,sha1
5,1.9404313564300537,1000,sha1
1,4.853872299194336,1000,sha256
2,3.7041282653808594,1000,sha256
3,2.8393421173095703,1000,sha256
4,2.2125258445739746,1000,sha256
5,2.1532273292541504,1000,sha256
